Date,Open,High,Low,Close,Adj Close,Volume
2018-10-29,108.110001,108.699997,100.110001,106.160004,104.517632,242639700
2018-11-05,106.370003,112.239998,105.900002,109.570000,107.874870,147847300
2018-11-12,109.419998,109.959999,103.910004,108.290001,106.614677,180498800
2018-11-19,108.269997,108.559998,99.349998,103.070000,101.913811,150780100
2018-11-26,104.790001,111.330002,104.580002,110.889999,109.646095,170038000
2018-12-03,113.000000,113.419998,104.300003,104.820000,103.644188,174082100
2018-12-10,104.800003,111.269997,103.889999,106.029999,104.840607,197742900
2018-12-17,105.410004,106.879997,97.459999,98.230003,97.128105,356051000
2018-12-24,97.680000,102.410004,93.959999,100.389999,99.263878,183264800
2018-12-31,101.290001,102.510002,97.199997,101.930000,100.786606,155142800
2019-01-07,101.639999,104.879997,100.980003,102.800003,101.646843,157833100
2019-01-14,101.900002,107.900002,101.260002,107.709999,106.501762,155699200
2019-01-21,106.750000,107.879997,104.860001,107.169998,105.967827,112636000
2019-01-28,106.260002,106.480003,102.169998,102.779999,101.627075,201611200
2019-02-04,102.870003,107.269997,102.769997,105.669998,104.484650,130472100
2019-02-11,106.199997,108.300003,104.970001,108.220001,107.006050,110757200
2019-02-18,107.790001,111.199997,106.290001,110.970001,109.725204,96472600
2019-02-25,111.760002,113.239998,110.879997,112.529999,111.742897,119359500
2019-03-04,113.019997,113.250000,108.800003,110.510002,109.737022,111990700
2019-03-11,110.989998,117.250000,110.980003,115.910004,115.099251,173582600
2019-03-18,116.169998,120.820000,116.050003,117.050003,116.231277,160388500
2019-03-25,116.559998,118.709999,115.519997,117.940002,117.115051,119632800
2019-04-01,118.949997,120.430000,118.099998,119.889999,119.051414,99731100
2019-04-08,119.809998,120.980003,118.580002,120.949997,120.103996,83159600
2019-04-15,120.940002,123.519997,120.099998,123.370003,122.507072,77156300
2019-04-22,122.620003,131.369995,122.570000,129.889999,128.981461,132620000
2019-04-29,129.899994,130.699997,125.519997,128.899994,127.998383,119573700
2019-05-06,126.389999,128.559998,123.570000,127.129997,126.240768,146827400
2019-05-13,124.110001,130.460007,123.040001,128.070007,127.174210,139816600
2019-05-20,126.519997,128.240005,124.739998,126.239998,125.821022,92123900
2019-05-27,126.980003,128.000000,123.320000,123.680000,123.269516,89367900
2019-06-03,123.849998,132.250000,119.010002,131.399994,130.963882,147636900
2019-06-10,132.399994,134.240005,130.710007,132.449997,132.010406,102505800
2019-06-17,132.630005,137.729996,132.529999,136.970001,136.515411,133967200
2019-06-24,137.000000,138.399994,132.729996,133.960007,133.515411,124214400
2019-07-01,136.630005,137.740005,134.970001,137.059998,136.605103,69621700
2019-07-08,136.399994,139.220001,135.369995,138.899994,138.438995,102201900
2019-07-15,139.440002,140.669998,134.669998,136.619995,136.166565,138962800
2019-07-22,137.410004,141.679993,137.330002,141.339996,140.870895,101242300
2019-07-29,141.500000,141.509995,135.080002,136.899994,136.445633,143400300
2019-08-05,133.300003,139.380005,130.779999,137.710007,137.252960,159824000
2019-08-12,137.070007,138.800003,132.250000,136.130005,135.678207,130689700
2019-08-19,137.850006,139.490005,132.800003,133.389999,133.389999,117702400
2019-08-26,134.990005,139.179993,133.550003,137.860001,137.860001,104916800
2019-09-02,136.610001,140.380005,135.699997,139.100006,139.100006,83791500
2019-09-09,139.589996,139.750000,134.509995,137.320007,137.320007,129776500
2019-09-16,135.830002,142.369995,135.660004,139.440002,139.440002,133467100
2019-09-23,139.229996,140.690002,136.029999,137.729996,137.729996,108228800
2019-09-30,138.050003,140.250000,133.220001,138.119995,138.119995,116299800
2019-10-07,137.139999,141.029999,135.619995,139.679993,139.679993,103704700
2019-10-14,139.690002,141.789993,136.559998,137.410004,137.410004,107485700
2019-10-21,138.449997,141.139999,135.610001,140.729996,140.729996,139657700
2019-10-28,144.399994,145.669998,143.509995,144.190002,144.190002,35243000
